onset	duration	sample	trial_type	response_time	stim_file	value
822.5620000000	n/a	n/a	STIM: E-F	n/a	n/a	S134
824.6780000000	n/a	n/a	RESP: Left Press, Correct	n/a	n/a	S101
825.2120000000	n/a	n/a	FB: Reward	n/a	n/a	S  8
827.2660000000	n/a	n/a	STIM: D-C	n/a	n/a	S152
828.8900000000	n/a	n/a	RESP: Left Press, Incorrect	n/a	n/a	S103
829.4340000000	n/a	n/a	FB: Punishment	n/a	n/a	S  9
831.4880000000	n/a	n/a	STIM: B-A	n/a	n/a	S161
832.5580000000	n/a	n/a	RESP: Left Press, Incorrect	n/a	n/a	S103
833.0420000000	n/a	n/a	FB: Punishment	n/a	n/a	S  9
835.0940000000	n/a	n/a	STIM: D-C	n/a	n/a	S152
836.4660000000	n/a	n/a	RESP: Left Press, Incorrect	n/a	n/a	S103
836.9400000000	n/a	n/a	FB: Punishment	n/a	n/a	S  9
838.9920000000	n/a	n/a	STIM: A-B	n/a	n/a	S116
841.8100000000	n/a	n/a	RESP: Right Press, Incorrect	n/a	n/a	S104
842.1640000000	n/a	n/a	FB: Punishment	n/a	n/a	S  9
844.2180000000	n/a	n/a	STIM: F-E	n/a	n/a	S143
845.6140000000	n/a	n/a	RESP: Right Press, Correct	n/a	n/a	S102
846.1400000000	n/a	n/a	FB: Reward	n/a	n/a	S  8
848.1920000000	n/a	n/a	STIM: D-C	n/a	n/a	S152
850.0980000000	n/a	n/a	RESP: Right Press, Correct	n/a	n/a	S102
850.5120000000	n/a	n/a	FB: Punishment	n/a	n/a	S  9
852.5640000000	n/a	n/a	STIM: B-A	n/a	n/a	S161
855.0580000000	n/a	n/a	RESP: Left Press, Incorrect	n/a	n/a	S103
855.4100000000	n/a	n/a	FB: Punishment	n/a	n/a	S  9
857.4640000000	n/a	n/a	STIM: F-E	n/a	n/a	S143
859.2740000000	n/a	n/a	RESP: Right Press, Correct	n/a	n/a	S102
859.6380000000	n/a	n/a	FB: Reward	n/a	n/a	S  8
861.6920000000	n/a	n/a	STIM: B-A	n/a	n/a	S161
865.7440000000	n/a	n/a	RESP: No Response	n/a	n/a	S105
866.2980000000	n/a	n/a	FB: No Response FB	n/a	n/a	S  7
868.3520000000	n/a	n/a	STIM: D-C	n/a	n/a	S152
871.3780000000	n/a	n/a	RESP: Right Press, Correct	n/a	n/a	S102
871.8120000000	n/a	n/a	FB: Reward	n/a	n/a	S  8
873.8640000000	n/a	n/a	STIM: E-F	n/a	n/a	S134
874.7380000000	n/a	n/a	RESP: Left Press, Correct	n/a	n/a	S101
875.2720000000	n/a	n/a	FB: Punishment	n/a	n/a	S  9
877.3260000000	n/a	n/a	STIM: A-B	n/a	n/a	S116
878.7300000000	n/a	n/a	RESP: Left Press, Correct	n/a	n/a	S101
879.1120000000	n/a	n/a	FB: Punishment	n/a	n/a	S  9
881.1660000000	n/a	n/a	STIM: E-F	n/a	n/a	S134
882.3940000000	n/a	n/a	RESP: Left Press, Correct	n/a	n/a	S101
882.8580000000	n/a	n/a	FB: Punishment	n/a	n/a	S  9
884.9100000000	n/a	n/a	STIM: D-C	n/a	n/a	S152
886.8340000000	n/a	n/a	RESP: Right Press, Correct	n/a	n/a	S102
887.2860000000	n/a	n/a	FB: Punishment	n/a	n/a	S  9
889.3400000000	n/a	n/a	STIM: A-B	n/a	n/a	S116
890.8500000000	n/a	n/a	RESP: Left Press, Correct	n/a	n/a	S101
891.2340000000	n/a	n/a	FB: Reward	n/a	n/a	S  8
893.2880000000	n/a	n/a	STIM: D-C	n/a	n/a	S152
894.4060000000	n/a	n/a	RESP: Right Press, Correct	n/a	n/a	S102
894.7880000000	n/a	n/a	FB: Reward	n/a	n/a	S  8
896.8420000000	n/a	n/a	STIM: E-F	n/a	n/a	S134
898.4220000000	n/a	n/a	RESP: Left Press, Correct	n/a	n/a	S101
898.8960000000	n/a	n/a	FB: Punishment	n/a	n/a	S  9
900.9480000000	n/a	n/a	STIM: A-B	n/a	n/a	S116
